Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.000000	fluidanimate	1	1428	38.000000	5.008000	1.522000	1588497005	8260469	235134247	459444166	577335187	4083510	
3.000000	fluidanimate	1	1479	38.000000	5.024000	1.446000	1585124238	8289599	233693933	456443286	574894994	4061543	
2.000000	fluidanimate	1	1479	38.000000	5.024000	1.406000	1596680177	8349797	235431238	460132434	577778939	4081929	
3.000000	fluidanimate	1	1479	39.000000	5.016000	1.605000	1597643349	8282472	235721643	460034871	577987001	4042351	
13.000000	freqmine	1	102	36.000000	5.072000	0.243000	1479397190	9400751	240186593	466954253	594414454	4707508	
22.000000	freqmine	1	102	37.000000	5.072000	0.243000	1474367256	9271466	239041926	464466695	592006699	4599289	
17.000000	freqmine	1	102	36.000000	5.072000	0.243000	1466205515	9284222	236796520	460703300	588801301	4597307	
8.000000	freqmine	1	204	37.000000	5.064000	0.364000	1434926469	8907072	235115705	455471311	578341937	4318377	
7.000000	freqmine	1	204	36.000000	5.064000	0.364000	1427647643	8831908	234040848	454101538	577082178	4311206	
9.000000	freqmine	1	204	36.000000	5.056000	0.364000	1425954440	8860436	233221220	452053835	575666368	4308327	
5.000000	freqmine	1	307	37.000000	5.056000	0.444000	1415715718	8677077	231077862	447918687	568549499	4190054	
5.000000	freqmine	1	307	37.000000	5.056000	0.444000	1428957138	8690498	233021377	451511876	573213853	4196336	
6.000000	freqmine	1	307	37.000000	5.056000	0.444000	1429879354	8738153	232880096	450894349	573620973	4237441	
5.000000	freqmine	1	403	37.000000	5.056000	0.485000	1428257466	8592452	232280437	449247253	570711912	4141099	
4.000000	freqmine	1	403	37.000000	5.056000	0.525000	1433303840	8720824	232477333	450113623	571452201	4145120	
5.000000	freqmine	1	403	37.000000	5.056000	0.525000	1430787614	8643241	232330264	449385816	569967477	4192988	
3.000000	freqmine	1	518	37.000000	5.048000	0.565000	1463677432	8621155	235984382	455768800	577042630	4215091	
4.000000	freqmine	1	518	37.000000	5.048000	0.566000	1443369359	8572538	233239937	450933740	571421325	4128164	
3.000000	freqmine	1	518	37.000000	5.048000	0.605000	1448240556	8587731	232980595	450117632	570483472	4122963	
4.000000	freqmine	1	614	37.000000	5.048000	0.605000	1465100850	8514529	234128783	452282681	572000243	4165417	
3.000000	freqmine	1	614	37.000000	5.048000	0.646000	1457738800	8529442	232236792	448795325	570457082	4109313	
4.000000	freqmine	1	614	37.000000	5.048000	0.605000	1449005421	8469889	231316633	447220079	566331069	4062945	
3.000000	freqmine	1	710	37.000000	5.048000	0.686000	1462815587	8427631	231504309	447320501	567018499	4024108	
3.000000	freqmine	1	710	37.000000	5.048000	0.726000	1464249051	8459691	232084615	448624601	566837144	4123684	
3.000000	freqmine	1	710	37.000000	5.048000	0.686000	1462906726	8474556	230902818	446596933	565570225	4063127	
3.000000	freqmine	1	921	37.000000	5.040000	0.887000	1496991620	8471091	232067780	448200080	568330024	4041054	
3.000000	freqmine	1	921	37.000000	5.048000	0.848000	1497275377	8380200	232516667	449048084	568900455	4059168	
3.000000	freqmine	1	921	37.000000	5.040000	0.925000	1488257766	8376717	230392069	445117371	563658411	4027281	
3.000000	freqmine	1	1036	37.000000	5.040000	0.887000	1507083968	8390823	230492505	445307542	564689257	4021445	
3.000000	freqmine	1	1036	37.000000	5.040000	0.927000	1516116300	8382858	232836388	449526010	568098645	4114715	
2.000000	freqmine	1	1036	37.000000	5.040000	0.887000	1524454238	8411339	234302823	452197299	570602299	4120078	
3.000000	freqmine	1	1132	37.000000	5.040000	0.887000	1514196436	8382551	230821617	446283273	565110241	4069563	
3.000000	freqmine	1	1132	37.000000	5.040000	0.887000	1514403784	8378354	230146001	445539028	564045487	4072108	
3.000000	freqmine	1	1132	37.000000	5.040000	0.887000	1516460871	8369688	231437757	447400696	565355733	4082819	
3.000000	freqmine	1	1224	37.000000	5.032000	1.167000	1549002998	8431157	234486118	452383109	572608448	4122042	
3.000000	freqmine	1	1224	38.000000	5.032000	1.046000	1534677082	8352954	231622815	447474957	565509575	4059921	
2.000000	freqmine	1	1224	37.000000	5.032000	1.046000	1543967831	8374573	233843802	451128998	570816520	4056862	
2.000000	freqmine	1	1428	38.000000	5.024000	1.366000	1556651529	8296125	230583463	445774867	563984009	4051357	
3.000000	freqmine	1	1428	38.000000	5.024000	1.406000	1560549728	8295062	230540703	445694191	564847842	4049764	
3.000000	freqmine	1	1428	38.000000	5.032000	1.247000	1561208618	8294961	231447271	447149211	566857229	4072328	
2.000000	freqmine	1	1479	38.000000	5.032000	1.408000	1569739524	8281716	231249862	446894799	564588215	4068180	
2.000000	freqmine	1	1479	38.000000	5.024000	1.487000	1566544888	8304909	230898134	445830689	563796092	4042472	
2.000000	freqmine	1	1479	39.000000	5.024000	1.446000	1573570901	8378961	232055577	448338556	566662815	4001279	
15.000000	streamcluster	1	102	37.000000	5.072000	0.243000	1429165577	8863662	229917551	452105403	573502084	4414461	
28.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1435003964	8931447	229512974	451582786	574229898	4517466	
